"Station","Station_old_name","period","forcov","foredg","lat","long","Setup_date","Retrieval_date","cattle"
"G-01_sat10","G-01","sat10",99.99,4093.49,-16.36967,-62.03108,2019-01-01,2019-06-30,8
"G-01_sat11","G-01","sat11",100,4053.49,-16.36967,-62.03108,2019-07-01,2020-03-31,26
"G-01_sat14","G-01","sat14",99.38,5613.49,-16.36967,-62.03108,2020-04-01,2020-09-30,0
"G-01_sat16","G-01","sat16",99.9,4233.49,-16.36967,-62.03108,2020-10-01,2021-03-31,0
"G-01_sat18","G-01","sat18",99.84,4353.35,-16.36967,-62.03108,2021-04-01,2021-06-30,0
"G-01_sat19","G-01","sat19",30.16,11512.12,-16.36967,-62.03108,2021-07-01,2021-12-31,0
"G-01_sat2","G-01","sat2",99.94,4213.49,-16.36967,-62.03108,2017-01-01,2017-09-30,1
"G-01_sat4","G-01","sat4",99.92,4233.45,-16.36967,-62.03108,2017-10-01,2017-12-31,1
"G-01_sat6","G-01","sat6",99.89,4393.49,-16.36967,-62.03108,2018-01-01,2018-09-30,16
"G-01_sat8","G-01","sat8",40.27,15178.44,-16.36967,-62.03108,2018-10-01,2018-12-31,0
"G-02_sat10","G-02","sat10",58.05,14465.24,-16.36953,-62.00517,2019-01-01,2019-06-30,8
"G-02_sat11","G-02","sat11",72.42,11871.34,-16.36953,-62.00517,2019-07-01,2020-03-31,31
"G-02_sat14","G-02","sat14",58.74,10349.29,-16.36953,-62.00517,2020-04-01,2020-09-30,1
"G-02_sat16","G-02","sat16",57.88,11207.38,-16.36953,-62.00517,2020-10-01,2021-03-31,11
"G-02_sat18","G-02","sat18",61.62,9351.36,-16.36953,-62.00517,2021-04-01,2021-06-30,0
"G-02_sat19","G-02","sat19",13.97,7737.66,-16.36953,-62.00517,2021-07-01,2021-12-31,8
"G-02_sat2","G-02","sat2",70.55,13962.71,-16.36953,-62.00517,2017-01-01,2017-09-30,77
"G-02_sat4","G-02","sat4",55.08,11884.3,-16.36953,-62.00517,2017-10-01,2017-12-31,56
"G-02_sat6","G-02","sat6",71.96,16233.42,-16.36953,-62.00517,2018-01-01,2018-09-30,2
"G-02_sat8","G-02","sat8",72.89,11351.24,-16.36953,-62.00517,2018-10-01,2018-12-31,0
"G-03_sat10","G-03","sat10",50.09,5962.61,-16.368902,-61.987489,2019-01-01,2019-06-30,15
"G-03_sat11","G-03","sat11",68.11,12556,-16.368902,-61.987489,2019-07-01,2020-03-31,6
"G-03_sat14","G-03","sat14",54.89,10982.33,-16.368902,-61.987489,2020-04-01,2020-09-30,0
"G-03_sat16","G-03","sat16",50.5,8597.35,-16.368902,-61.987489,2020-10-01,2021-03-31,0
"G-03_sat18","G-03","sat18",47.93,11920.13,-16.368902,-61.987489,2021-04-01,2021-06-30,0
"G-03_sat19","G-03","sat19",14.56,11884.48,-16.368902,-61.987489,2021-07-01,2021-12-31,0
"G-03_sat2","G-03","sat2",81.54,12413.92,-16.368902,-61.987489,2017-01-01,2017-09-30,0
"G-03_sat4","G-03","sat4",65.19,10478.79,-16.368902,-61.987489,2017-10-01,2017-12-31,0
"G-03_sat6","G-03","sat6",53.26,9672.19,-16.368902,-61.987489,2018-01-01,2018-09-30,0
"G-03_sat8","G-03","sat8",66.49,12742.61,-16.368902,-61.987489,2018-10-01,2018-12-31,0
"G-04_sat10","G-04","sat10",90.23,11270.89,-16.368013,-61.963085,2019-01-01,2019-06-30,0
"G-04_sat11","G-04","sat11",98.15,6220.13,-16.368013,-61.963085,2019-07-01,2020-03-31,0
"G-04_sat14","G-04","sat14",81.73,18567.52,-16.368013,-61.963085,2020-04-01,2020-09-30,0
"G-04_sat16","G-04","sat16",87.83,10028.33,-16.368013,-61.963085,2020-10-01,2021-03-31,0
"G-04_sat18","G-04","sat18",85.8,8312.54,-16.368013,-61.963085,2021-04-01,2021-06-30,0
"G-04_sat19","G-04","sat19",7.13,11264.54,-16.368013,-61.963085,2021-07-01,2021-12-31,1
"G-04_sat2","G-04","sat2",74.49,15406.21,-16.368013,-61.963085,2017-01-01,2017-09-30,0
"G-04_sat4","G-04","sat4",90.01,7044.39,-16.368013,-61.963085,2017-10-01,2017-12-31,0
"G-04_sat6","G-04","sat6",86.29,10385.83,-16.368013,-61.963085,2018-01-01,2018-09-30,0
"G-04_sat8","G-04","sat8",91.73,8665.27,-16.368013,-61.963085,2018-10-01,2018-12-31,0
"G-05_sat10","G-05","sat10",77.58,12874.47,-16.367856,-61.936546,2019-01-01,2019-06-30,0
"G-05_sat11","G-05","sat11",89.95,13101.26,-16.367856,-61.936546,2019-07-01,2020-03-31,0
"G-05_sat14","G-05","sat14",69.93,14305.68,-16.367856,-61.936546,2020-04-01,2020-09-30,0
"G-05_sat16","G-05","sat16",53.74,20932.34,-16.367856,-61.936546,2020-10-01,2021-03-31,0
"G-05_sat18","G-05","sat18",24.46,7192.74,-16.367856,-61.936546,2021-04-01,2021-06-30,0
"G-05_sat19","G-05","sat19",18.51,11534.25,-16.367856,-61.936546,2021-07-01,2021-12-31,1
"G-05_sat2","G-05","sat2",67,14516.47,-16.367856,-61.936546,2017-01-01,2017-09-30,0
"G-05_sat4","G-05","sat4",80.8,9003.45,-16.367856,-61.936546,2017-10-01,2017-12-31,0
