"Station","Trivial","Classification","period","Station_old_name","forcov","foredg","habitat_affinity"
"G-01_sat10","lowland_paca","Cuniculus paca","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat10","jaguar","Panthera onca","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat10","bolivian_squirrel","Sciurus  ignitus","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat10","jaguar","Panthera onca","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat10","jaguar","Panthera onca","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat10","collared_peccary","Dicotyles tajacu","sat10","G-01",99.99,4093.49,"FS"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","gray_brocket_deer","Mazama gouazoubira","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","gray_brocket_deer","Mazama gouazoubira","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","south_american_coati","Nasua nasua","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","tapeti","Sylvilagus brasiliensis","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","tufted_capuchin","Sapajus apella","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","gray_brocket_deer","Mazama gouazoubira","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","jaguarundi","Herpaliurus yagouaroundi","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","gray_brocket_deer","Mazama gouazoubira","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","nine-banded_armadillo","Dasypus novemcinctus","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","crab-eating_raccoon","Procyon cancrivorus","sat11","G-01",100,4053.49,"DA"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","bolivian_squirrel","Sciurus  ignitus","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","south_american_coati","Nasua nasua","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","central_american_agouti","Dasyprocta punctata","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","white-lipped_peccary","Tayassu pecari","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","collared_peccary","Dicotyles tajacu","sat11","G-01",100,4053.49,"FS"
"G-01_sat11","nine-banded_armadillo","Dasypus novemcinctus","sat11","G-01",100,4053.49,"DA"
