"","Mean","SD","Naive SE","Time-series SE"
"Bpvalue",1,0,0,0
"Bpvalue_species[1]",1,0,0,0
"Bpvalue_species[2]",0.652,0.476,0.005,0.006
"Bpvalue_species[3]",0.653,0.476,0.005,0.007
"Bpvalue_species[4]",0.113,0.317,0.004,0.004
"Bpvalue_species[5]",0.936,0.245,0.003,0.003
"Bpvalue_species[6]",1,0,0,0
"Bpvalue_species[7]",0.54,0.498,0.006,0.007
"Bpvalue_species[8]",0.989,0.106,0.001,0.001
"Bpvalue_species[9]",0.994,0.075,0.001,0.001
"Bpvalue_species[10]",0.735,0.441,0.005,0.006
"Bpvalue_species[11]",0.998,0.048,0.001,0.001
"Bpvalue_species[12]",0.663,0.473,0.005,0.007
"Bpvalue_species[13]",0.846,0.361,0.004,0.004
"Bpvalue_species[14]",0.645,0.478,0.006,0.007
"Bpvalue_species[15]",0.491,0.5,0.006,0.007
"Bpvalue_species[16]",0.882,0.322,0.004,0.004
"Bpvalue_species[17]",0.778,0.415,0.005,0.006
"Bpvalue_species[18]",0.581,0.493,0.006,0.007
"Bpvalue_species[19]",0.544,0.498,0.006,0.007
"Bpvalue_species[20]",0.967,0.178,0.002,0.002
"Bpvalue_species[21]",0.568,0.495,0.006,0.007
"Bpvalue_species[22]",0.664,0.472,0.005,0.007
"Bpvalue_species[23]",0.597,0.491,0.006,0.008
"Bpvalue_species[24]",0.644,0.479,0.006,0.008
"Nspecies",24,0,0,0
"R2[1]",44.698,2.742,0.032,0.032
"R2[2]",10.687,3.656,0.042,0.075
"R2[3]",4.354,2.27,0.026,0.061
"R2[4]",6.807,2.404,0.028,0.072
"R2[5]",15.069,3.606,0.042,0.074
"R2[6]",40.039,3.262,0.038,0.039
"R2[7]",12.705,4.329,0.05,0.094
"R2[8]",11.46,2.412,0.028,0.033
"R2[9]",28.213,4.222,0.049,0.066
"R2[10]",13.438,3.947,0.046,0.093
"R2[11]",20.772,3.331,0.038,0.049
"R2[12]",5.462,2.535,0.029,0.077
"R2[13]",14.243,3.414,0.039,0.053
"R2[14]",6.972,2.799,0.032,0.068
"R2[15]",4.908,2.091,0.024,0.058
"R2[16]",10.481,3.346,0.039,0.066
"R2[17]",4.827,2.325,0.027,0.059
"R2[18]",7.641,3.313,0.038,0.085
"R2[19]",5.929,2.801,0.032,0.059
"R2[20]",8.116,2.393,0.028,0.038
"R2[21]",7.436,3.058,0.035,0.084
"R2[22]",4.33,2.145,0.025,0.054
"R2[23]",5.649,2.303,0.027,0.075
"R2[24]",6.26,2.902,0.034,0.08
"R3",300.496,16.192,0.187,0.453
"alpha.obs.fixed.cont.effort",0.314,0.084,0.001,0.001
"alpha0[1]",-1.533,0.086,0.001,0.001
"alpha0[2]",-2.936,0.22,0.003,0.004
"alpha0[3]",-3.637,0.522,0.006,0.016
"alpha0[4]",-4.066,0.381,0.004,0.011
"alpha0[5]",-2.919,0.199,0.002,0.004
"alpha0[6]",-1.706,0.085,0.001,0.001
"alpha0[7]",-2.725,0.174,0.002,0.003
"alpha0[8]",-2.131,0.164,0.002,0.002
"alpha0[9]",-2.256,0.109,0.001,0.002
"alpha0[10]",-3.062,0.22,0.003,0.005
"alpha0[11]",-2.207,0.124,0.001,0.002
"alpha0[12]",-3.614,0.472,0.005,0.015
"alpha0[13]",-2.417,0.139,0.002,0.002
"alpha0[14]",-3.356,0.343,0.004,0.008
"alpha0[15]",-4.064,0.535,0.006,0.016
"alpha0[16]",-2.67,0.23,0.003,0.005
